,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Linmei_Hu,0.13457234,0.068078585,0.01264844,0.014401164,0.07446287,0.041375812,-0.0044757226,-0.1319605,0.04089738,0.048861567,0.06488458,0.03639903,-0.0075286785,0.04265562,0.059408262,0.056037214,-0.009427082,-0.00644565,0.028088227,-0.14099707,0.06811474,-0.065740764,0.060653303,0.09405136,0.087762415,-0.32992178,-0.15828016,-0.034144487,0.06328326,-0.02281909,0.99522334,-0.03328233,-0.10801727,-0.21117936,0.0027424167,0.001042661,0.0358524,0.061829396,-0.08151497,-0.018464264,0.052488223,-0.09302121,0.01656641,0.111335434,-0.021637172,-0.026335606,0.12565869,0.136398,0.053484764,0.062797554
Yanhua_Yu,0.12520589,0.013238416,0.029426651,0.022627924,0.092559986,0.072695285,0.040481154,-0.16423424,0.034559026,0.07206605,0.07894531,0.042423964,-0.042193163,0.030979395,0.06273269,0.046900835,0.0027097391,-0.009402116,-0.014636666,-0.17864992,0.0094161,-0.1338914,0.04260642,0.058860134,0.051390365,-0.3149185,-0.11524287,-0.007511902,0.10622799,0.021187022,0.99675614,-0.07049858,-0.117262125,-0.1282276,0.043782577,-0.012817543,0.032842424,0.08962337,-0.062265094,-0.0045997873,0.04418829,-0.051039543,-0.02399108,0.17409468,-0.10662363,-0.04145406,0.17581965,0.096627064,0.04354942,0.02734402
Yan_Shi_0002,0.12561807,0.043283172,0.08445817,0.042697668,-0.034091983,0.015185517,-0.022414826,-0.13629317,0.09406821,0.065792054,0.10973296,0.030422442,-0.053565416,0.05151726,-0.03973999,0.06268776,-0.024605665,0.034412995,-0.05252795,-0.13233542,0.110652156,-0.087072715,-0.013478339,0.041764334,0.024493294,-0.34211144,-0.09703915,-0.027171006,0.10353763,0.008763316,1.0671006,0.019565387,-0.072376244,-0.15983245,-0.0022487247,-0.038787168,0.04445665,0.0056098974,-0.06414651,0.006517172,0.04308613,-0.1054693,0.01337355,0.081962645,-0.092402555,-0.04720265,0.11048619,0.11398202,0.034311965,0.07448823
Haifeng_Sun,0.11422915,-0.0024888506,0.051160507,0.012348561,0.042408913,0.035080712,0.032528423,-0.11463499,0.04836285,0.024926506,0.08439207,0.034294352,-0.03748759,0.057732224,-0.033406723,0.05639232,-0.011880104,0.026308535,0.006217724,-0.12091323,0.036481574,-0.06504762,-0.0037646235,0.020266859,0.032068387,-0.22209026,-0.077301055,-0.008931761,0.06034525,-0.021100206,0.7438827,-0.021955865,-0.06154412,-0.13662189,-0.009208699,0.026630374,0.036527716,0.029758679,-0.016222993,0.0035750403,0.040351402,-0.06481883,-0.0064892555,0.07861516,-0.06377341,-0.0068152547,0.11299002,0.051686373,0.006407907,0.025729056
Yuhong_Li,0.07697833,0.017964799,0.032579076,0.025093833,0.012729261,0.01668258,-0.025588429,-0.068345934,0.021005655,0.0021464147,0.060795955,0.03397394,-0.047963064,0.010008179,0.0010120659,0.035185274,0.003949439,0.031617235,0.0041432506,-0.05588147,0.022161094,-0.035187382,-0.025938388,0.007604877,0.0025682258,-0.13136211,-0.026921107,-0.005974561,0.04074111,0.026008088,0.40753287,-0.0013500127,-0.035393864,-0.059290715,0.021387873,-0.0030242782,0.0095243165,0.030981429,-0.011766123,0.010439972,0.0016187675,-0.026831588,0.017913425,0.0051888074,-0.041645925,-0.00423416,0.016945004,0.046158165,0.024565425,0.03403679
Dong_Zhao_0001,0.16711694,0.028466519,0.020767467,-0.0040306128,0.13287619,0.08665523,0.053891473,-0.19159088,-0.012417438,0.10828133,0.09328582,0.03413965,-0.031823106,0.042250436,0.035534758,0.0942867,0.019532913,-0.028319214,-0.030037442,-0.24251859,0.047284108,-0.07717489,0.04236092,0.006567653,0.08078193,-0.3928962,-0.18661544,0.029361296,0.1937717,-0.05189579,1.3103071,-0.054636292,-0.15351452,-0.2452925,0.013580464,0.03866622,0.088683695,0.08832699,-0.07289461,-0.035193954,0.07638084,-0.076394126,0.0028622712,0.09792384,-0.06759933,-0.017926697,0.17542209,0.070971385,0.062820815,0.046009462
Tiemeng_Li,0.13971919,0.0021766261,0.06572566,0.07165018,0.06514175,0.03909127,-0.003011617,-0.304135,0.06884299,0.19191548,0.16098182,0.12124667,-0.017643368,0.08641574,0.0056134416,0.070262074,-0.027015055,0.046089996,-0.012377705,-0.29995835,0.054494377,-0.11565554,0.019954255,0.07547009,0.09859846,-0.39129162,-0.16376461,-0.035223104,0.15186378,-0.12580597,1.4201598,-0.004508336,-0.1788803,-0.31422603,-0.004549979,0.09926054,0.08583738,0.0957375,-0.14241903,-0.10665852,0.14652963,-0.10310134,-0.069235414,0.17020872,-0.09888984,-0.020423505,0.26357484,0.0658984,0.061262447,0.08809039
Feng_Qi_0004,0.08128964,0.06656696,0.08963405,0.04012694,0.05889548,-0.02152629,-0.078993276,-0.12730698,0.08452514,0.034593787,0.035572723,0.0038632487,-0.11853385,0.12372616,0.012378798,-0.02007571,0.04458903,0.0070464015,-0.117754556,-0.19843617,0.030377453,-0.0988256,0.017942116,0.059910096,0.02345128,-0.43243507,-0.1330384,-0.028142696,0.12149945,-0.057399694,1.2910897,0.023894232,-0.076886915,-0.18607502,0.038219288,0.0242231,0.06941321,0.068520695,-0.06932033,-0.049469925,-0.015342298,-0.12815392,0.050826605,0.11012168,-0.05123329,-0.027229434,0.13541847,0.08253896,0.074778475,0.087705046
Rongfeng_Li,0.22431402,0.03561923,0.00072555,0.07632069,0.040687416,0.21809706,0.118595436,-0.17084141,0.098421656,0.17076689,0.25056908,-0.008141014,0.089707166,0.0065626116,-0.09120536,0.0488732,-0.0282863,0.11167005,-0.11929872,-0.24620071,0.014685287,-0.16603865,0.10443644,-0.018214041,0.0904695,-0.33140785,-0.1820669,-0.028476229,0.096797526,0.016806895,1.2203414,-0.030569557,-0.20253341,-0.28894332,0.011618716,-0.025840478,0.01933153,0.08115322,0.026960688,0.040607996,0.08410454,-0.101132505,-0.13314402,0.09591581,-0.04087685,-0.10528671,0.2600529,0.18896602,0.03157062,0.084258385
Jincui_Yang,0.18669719,0.016559957,0.043950032,0.024441043,0.061559737,0.067640424,0.03387993,-0.17409201,0.10230329,0.030007312,0.09630833,0.04169708,-0.07999644,0.07744113,0.0025330947,0.0862031,-0.0136884665,0.010258347,-0.01680232,-0.196298,0.06982335,-0.10335425,0.040699463,0.08761964,0.05618454,-0.40260878,-0.16293281,-0.0010304016,0.14088078,-0.0019898235,1.2595276,-0.049405847,-0.14730428,-0.21587896,0.035744764,0.03009613,0.07889337,0.067855515,-0.06654542,-0.00027758442,0.04299721,-0.112910666,-0.011039092,0.1529889,-0.058494,-0.054262012,0.19663835,0.11401799,0.10257564,0.058774173
